Sequence	Contig	Position	SexBias	P	Signif
12486276	CP020624.1	23413985	0	1	False
12486594	CP020641.1	15842972	0	1	False
12487486	CP020640.1	20915259	0	1	False
12487492	CP020642.1	25871812	-0.0311828	1	False
12488507	CP020642.1	3852365	-0.126882	0.273728	False
12488944	CP020621.1	2457347	0.0032258	1	False
12489033	CP020624.1	28124124	0.0408602	0.937829	False
12489684	CP020621.1	2866103	-0.224731	0.0340812	False
12490081	CP020644.1	13225016	-0.0301076	1	False
12490123	CP020628.1	953554	0	1	False
12490221	CP020627.1	10090915	-0.0462366	0.911632	False
12490618	CP020622.1	862820	-0.0817205	0.699265	False
12490672	CP020641.1	8972906	-0.243011	0.09428	False
12490860	CP020621.1	20020812	0	1	False
12490959	CP020641.1	23014577	-0.0602151	0.768103	False
12491204	CP020627.1	21539412	0	1	False
12491338	CP020622.1	9199280	0.00107527	1	False
12491422	CP020635.1	15883513	0	1	False
12491888	CP020633.1	20339144	0	1	False
12492432	CP020643.1	11271713	0.239785	0.0801592	False
12492480	CP020630.1	28463494	-0.148387	0.363892	False
12492507	CP020634.1	23096373	0	1	False
12492691	CP020639.1	19570976	0.0569892	0.826241	False
12493592	CP020641.1	409406	0	1	False
12493663	CP020628.1	21366897	-0.267742	0.013006	False
12493791	CP020628.1	8251500	0.349462	0.00913958	False
12494103	CP020623.1	10227165	0	1	False
12494574	CP020633.1	15567899	-0.0322581	1	False
12494882	CP020634.1	24384860	-0.0430108	0.927762	False
12495032	CP020630.1	28909278	-0.0817205	0.699265	False
12495182	CP020634.1	28990477	0.0924731	0.540837	False
12495227	CP020640.1	22135315	-0.0215054	1	False
12495228	CP020632.1	23346944	0	1	False
12495272	CP020625.1	34297595	0.123656	0.396075	False
12495280	CP020641.1	1995574	-0.0311828	1	False
12495698	CP020636.1	16791611	-0.123656	0.396075	False
12496131	CP020640.1	8672254	-0.0139785	1	False
12496148	CP020635.1	8544438	-0.108602	0.519773	False
12496343	CP020638.1	29198687	0.350538	0.00728397	False
12496881	CP020625.1	31187524	0	1	False
12497182	CP020627.1	29817309	0.0354839	0.963377	False
12497282	CP020625.1	32019190	0	1	False
12497513	CP020640.1	10937768	-0.0107527	1	False
12497703	CP020629.1	13576019	-0.0860215	0.664906	False
12497794	CP020631.1	4574301	0	1	False
12498063	CP020624.1	31024351	0	1	False
12498437	CP020622.1	9173617	-0.144086	0.371418	False
12498462	CP020638.1	29863327	0.350538	0.00728397	False
12498766	CP020625.1	26198946	-0.178495	0.250315	False
12498999	CP020626.1	20753027	0.0204301	1	False
12499255	CP020621.1	11678576	0.672043	5.82652e-07	True
12499358	CP020638.1	6270078	0.101075	0.327311	False
12499386	CP020643.1	23631793	0	1	False
12499763	CP020634.1	30126240	0	1	False
12499970	CP020633.1	16630442	0.241935	0.0911653	False
12499999	CP020636.1	11455389	0.0129032	1	False
12500019	CP020629.1	17784716	-0.302151	0.0100709	False
12500059	CP020634.1	3102930	-0.0795699	0.708735	False
12500124	CP020631.1	16640223	-0.0612903	0.737008	False
12500284	CP020626.1	32649053	0	1	False
12500299	CP020623.1	28386894	0	1	False
12500473	CP020623.1	37871013	0	1	False
12500572	CP020623.1	19698513	-0.251613	0.0680747	False
12501278	CP020633.1	22898900	0.0333334	0.973624	False
12501464	CP020644.1	14492840	-0.105376	0.485695	False
12501959	CP020644.1	956675	0	1	False
12501988	CP020624.1	1799366	0.273118	0.0451359	False
12502238	CP020636.1	21248445	-0.111828	0.527561	False
12502320	CP020624.1	4069939	0	1	False
12502347	CP020637.1	9027985	0.139785	0.339851	False
12502482	CP020624.1	5777187	0.18172	0.24155	False
12502515	CP020622.1	9958065	-0.111828	0.527561	False
12502709	CP020642.1	17657188	0	1	False
12502916	CP020627.1	5481897	0.101075	0.327311	False
12502990	CP020624.1	2752724	0.0666667	0.450577	False
12503394	CP020640.1	926521	0.00752687	1	False
12503578	CP020635.1	14305774	-0.0892473	0.619679	False
12503798	CP020630.1	23408006	0.00537634	1	False
12504133	CP020624.1	7616883	-0.111828	0.527561	False
12504244	CP020628.1	25317465	0.135484	0.23247	False
12504491	CP020636.1	8037156	0	1	False
12505039	CP020628.1	21161963	-0.027957	1	False
12505129	CP020638.1	11413329	0	1	False
12505154	CP020640.1	17879990	-0.155914	0.262188	False
12505246	CP020644.1	20300252	0.0107527	1	False
12505590	CP020634.1	13813228	0	1	False
12505696	CP020625.1	33762543	-0.146237	0.371811	False
12505751	CP020635.1	23574791	0.153763	0.305612	False
12505763	CP020635.1	30039737	0	1	False
12505909	CP020641.1	25434270	0	1	False
12505981	CP020629.1	25097189	-0.124731	0.363715	False
12506319	CP020638.1	176819	0	1	False
12506438	CP020623.1	32666035	0	1	False
12506456	CP020629.1	13804682	0	1	False
12506575	CP020640.1	6220220	-0.169892	0.162166	False
12506729	CP020622.1	13722089	0.0129032	1	False
12506846	CP020624.1	2189530	-0.178495	0.250315	False
12506904	CP020637.1	6534662	0.11828	0.491734	False
12506998	CP020633.1	2109358	-0.272043	0.0400868	False
12507097	CP020626.1	29395553	0	1	False
12507153	CP020641.1	10435208	-0.00860217	1	False
12507770	CP020630.1	12008664	0	1	False
12508086	CP020644.1	4667357	-0.0516129	0.878542	False
12508110	CP020629.1	19686657	0	1	False
12508533	CP020640.1	2899738	-0.0623656	0.693026	False
12508814	CP020632.1	26283194	0	1	False
12508868	CP020625.1	33606256	-0.00967744	1	False
12508896	CP020623.1	4580642	0	1	False
12509567	CP020637.1	6173352	0.124731	0.363715	False
12509587	CP020640.1	2946195	0	1	False
12509610	CP020634.1	3493338	0.0333334	0.973624	False
12509611	CP020635.1	22988915	-0.039785	0.942787	False
12509708	CP020642.1	7274449	0	1	False
12509865	CP020632.1	26025853	0.167742	0.0969606	False
12510089	CP020641.1	29447902	-0.039785	0.942787	False
12510328	CP020634.1	30143315	0.12043	0.463325	False
12510362	CP020628.1	15904852	0	1	False
12510377	CP020638.1	23953005	-0.222581	0.0695703	False
12510559	CP020624.1	1121117	0	1	False
12510565	CP020639.1	11385169	0.2	0.0278542	False
12510842	CP020630.1	2840337	0.0365591	0.957978	False
12510845	CP020623.1	30417282	-0.0774194	0.713453	False
12510988	CP020638.1	18984316	-0.335484	0.00486974	False
12511000	CP020621.1	3007207	-0.0774194	0.713453	False
12511348	CP020628.1	8739227	0	1	False
12511832	CP020627.1	33881800	0.0494623	0.89311	False
12512152	CP020635.1	26607422	0.115054	0.517855	False
12512154	CP020630.1	2611937	0	1	False
12512207	CP020624.1	6414240	0.245161	0.0959889	False
12512215	CP020633.1	31710837	0	1	False
12512291	CP020626.1	4681936	-0.0860215	0.664906	False
12512670	CP020644.1	14797444	-0.0870968	0.652231	False
12512806	CP020632.1	4635663	0.0731183	0.704393	False
12513090	CP020644.1	22100711	0.0666667	0.450577	False
12513221	CP020632.1	14382343	0	1	False
12513305	CP020626.1	28916686	-0.0462366	0.911632	False
12513671	CP020644.1	20006405	0.0827957	0.692742	False
12514619	CP020641.1	31486894	0	1	False
12514937	CP020644.1	16217483	0.0451612	0.917204	False
12515053	CP020632.1	29115770	0.156989	0.234324	False
12515241	CP020629.1	18841616	0	1	False
12515359	CP020634.1	24173780	0	1	False
12515381	CP020633.1	7073100	0.189247	0.144928	False
12515495	CP020641.1	4680308	0	1	False
12515550	CP020640.1	9099180	0.055914	0.839507	False
12515553	CP020624.1	31001398	-0.0548387	0.85102	False
12515743	CP020625.1	30331696	0.0344086	0.969025	False
12516604	CP020628.1	21145125	0.15914	0.162427	False
12516662	CP020624.1	4346656	0.182796	0.234602	False
12516762	CP020633.1	2072688	0.206452	0.13588	False
12516889	CP020629.1	26787629	-0.202151	0.0731611	False
12517431	CP020621.1	2109955	0	1	False
12517576	CP020628.1	26355902	0.0387096	0.947758	False
12517714	CP020635.1	21901670	0.0032258	1	False
12517934	CP020625.1	34066101	-0.0645161	0.47938	False
12518021	CP020623.1	10336123	0.184946	0.214398	False
12518211	CP020622.1	6082606	-0.115054	0.517855	False
12518634	CP020621.1	37554700	0.210753	0.158739	False
12518669	CP020640.1	5289667	0.211828	0.159418	False
12519326	CP020627.1	5666994	0	1	False
12519340	CP020627.1	33675147	-0.0268817	1	False
12519430	CP020635.1	30138241	-0.24086	0.0864746	False
12519558	CP020642.1	1854957	-0.366667	0.000683104	False
12519660	CP020642.1	26829622	0	1	False
12520237	CP020626.1	23576784	-0.222581	0.0695703	False
12520698	CP020635.1	1543201	0	1	False
12521573	CP020642.1	26550475	0	1	False
12521605	CP020625.1	31969270	-0.0258065	1	False
12521694	CP020627.1	30573134	-0.0322581	1	False
12522163	CP020623.1	17847329	-0.158064	0.201356	False
12522171	CP020639.1	1181964	-0.011828	1	False
12522246	CP020630.1	17846556	0.0731183	0.704393	False
12522252	CP020631.1	26917376	0.072043	0.695957	False
12522320	CP020628.1	1036700	0.0333334	0.973624	False
12522795	CP020625.1	5680438	0	1	False
12522841	CP020642.1	2673811	0	1	False
12522964	CP020641.1	9296260	0	1	False
12523165	CP020634.1	29972716	0.0924731	0.540837	False
12523262	CP020641.1	25674101	-0.192473	0.063851	False
12523304	CP020636.1	14352699	0.244086	0.0958714	False
12523659	CP020625.1	13538206	0.0258064	1	False
12523787	CP020638.1	25122005	0	1	False
12523914	CP020633.1	1114528	0.206452	0.13588	False
12524702	CP020642.1	23378006	0.207527	0.14489	False
12525023	CP020644.1	12998456	0	1	False
12525386	CP020624.1	5019210	-0.370968	0.00429243	False
12525897	CP020633.1	18903832	0	1	False
12525964	CP020630.1	1407741	0	1	False
12526098	CP020627.1	31806578	0	1	False
12526190	CP020626.1	29293649	0	1	False
12526319	CP020640.1	2296893	0	1	False
12526495	CP020641.1	22431086	0.0333334	0.973624	False
12526734	CP020630.1	29672998	0	1	False
12527025	CP020638.1	30211107	0	1	False
12527649	CP020640.1	2888409	-0.117204	0.50241	False
12528112	CP020637.1	29888463	-0.203226	0.0930909	False
12528127	CP020636.1	12670641	0	1	False
12528312	CP020630.1	21304715	0	1	False
12528479	CP020623.1	1374068	0	1	False
12528571	CP020634.1	29103201	0	1	False
12528673	CP020632.1	29396589	0.124731	0.363715	False
12528681	CP020624.1	4432485	-0.370968	0.00429243	False
12528813	CP020621.1	3463403	-0.0634409	0.622808	False
12528903	CP020623.1	34270485	0	1	False
12528921	CP020641.1	29316881	-0.039785	0.942787	False
12528939	CP020628.1	5435503	-0.168817	0.132709	False
12529021	CP020630.1	2548772	0	1	False
12529367	CP020644.1	7780837	0.21828	0.126332	False
12529622	CP020624.1	28082696	0	1	False
12529851	CP020630.1	17770539	0	1	False
12530130	CP020627.1	33187398	0.0494623	0.89311	False
12530162	CP020635.1	23624935	0	1	False
12530562	CP020633.1	18256727	0.00860214	1	False
12530879	CP020631.1	8070943	0	1	False
12531198	CP020623.1	15493580	0.248387	0.0879205	False
12531621	CP020633.1	813262	-0.236559	0.0514172	False
12531656	CP020622.1	12614276	0.0215054	1	False
12532331	CP020635.1	9872663	-0.570968	1.89423e-05	False
12532730	CP020632.1	14619696	0.110753	0.527127	False
12532828	CP020638.1	6621282	-0.122581	0.4227	False
12532899	CP020641.1	4210879	-0.124731	0.363715	False
12532968	CP020633.1	799209	-0.272043	0.0400868	False
12533593	CP020627.1	29088618	0.190323	0.120525	False
12534202	CP020629.1	15251457	0	1	False
12534224	CP020633.1	17202182	0.0354839	0.963377	False
12534276	CP020634.1	30132508	0	1	False
12534468	CP020641.1	17765484	0.0365591	0.957978	False
12534501	CP020635.1	1253472	0	1	False
12534547	CP020621.1	32758966	0.306452	0.0242386	False
12534590	CP020639.1	1765126	0.0677419	0.575671	False
12534701	CP020642.1	6071231	-0.221505	0.0861662	False
12534934	CP020629.1	2460736	0	1	False
12535018	CP020636.1	30562727	0.155914	0.262188	False
12535686	CP020631.1	4415481	0	1	False
12535900	CP020642.1	23498151	-0.0322581	1	False
12535938	CP020631.1	1918553	0.0139785	1	False
12536267	CP020627.1	12881632	-0.00752689	1	False
12536308	CP020630.1	32352471	-0.0634409	0.622808	False
12536386	CP020627.1	32408421	0.115054	0.517855	False
12536400	CP020629.1	30432499	0	1	False
12536635	CP020627.1	33774528	0.0419355	0.932835	False
12536648	CP020622.1	391936	0.207527	0.14489	False
12537028	CP020642.1	5568309	-0.221505	0.0861662	False
12537168	CP020641.1	32370347	0.0258064	1	False
12537210	CP020640.1	21914581	-0.0129032	1	False
12537227	CP020624.1	9356051	0	1	False
12537386	CP020626.1	28348666	0	1	False
12537719	CP020641.1	1268502	-0.0946237	0.444854	False
12537799	CP020630.1	20758466	0	1	False
12538449	CP020637.1	23412231	0	1	False
12538538	CP020623.1	32422084	-0.225806	0.0177352	False
12538547	CP020625.1	3053974	-0.0301076	1	False
12538961	CP020623.1	10897021	-0.0290322	1	False
12539089	CP020624.1	27913682	-0.111828	0.527561	False
12539185	CP020633.1	1138385	-0.237634	0.0625713	False
12539218	CP020623.1	801229	-0.0193549	1	False
12539315	CP020625.1	29359012	0.0333334	0.973624	False
12539453	CP020637.1	11908457	0	1	False
12539568	CP020635.1	16725394	0	1	False
12539612	CP020635.1	29207057	-0.0741936	0.709715	False
12539668	CP020639.1	7567160	0	1	False
12540267	CP020621.1	29422784	0.307527	0.0265736	False
12540335	CP020636.1	30116713	0.274194	0.049153	False
12540381	CP020624.1	30740473	-0.0881721	0.637327	False
12540707	CP020621.1	18929624	0	1	False
12540968	CP020624.1	28811944	0.0258064	1	False
12541054	CP020629.1	4811332	0.00645161	1	False
12541121	CP020622.1	21036614	-0.0483871	0.899647	False
12541156	CP020642.1	23652015	0.178495	0.250315	False
12541290	CP020637.1	12720798	-0.0827957	0.692742	False
12541465	CP020641.1	9124112	-0.044086	0.922566	False
12541476	CP020631.1	25246567	-0.201075	0.0508527	False
12541943	CP020625.1	18332007	0	1	False
12542719	CP020635.1	28076342	0	1	False
12543042	CP020630.1	27621866	0	1	False
12543241	CP020625.1	13156548	-0.0311828	1	False
12544044	CP020632.1	9541927	0	1	False
12544650	CP020630.1	21501461	0.0666667	0.450577	False
12544863	CP020622.1	11944270	0	1	False
12545456	CP020641.1	2149304	0	1	False
12545612	CP020625.1	21643207	0.15914	0.162427	False
12546019	CP020637.1	12025570	0.0333334	0.973624	False
12546540	CP020632.1	29918386	0	1	False
12546773	CP020628.1	9946804	0	1	False
12546804	CP020629.1	13070460	0.167742	0.0969606	False
12547164	CP020623.1	25275154	-0.00860217	1	False
12547176	CP020635.1	5501003	-0.0795699	0.708735	False
12547237	CP020644.1	5861890	0	1	False
12547439	CP020625.1	608430	-0.0419355	0.932835	False
12547564	CP020636.1	31718960	0	1	False
12547657	CP020622.1	22930717	-0.0634409	0.622808	False
12547877	CP020622.1	4858081	0.117204	0.50241	False
12548270	CP020630.1	29361975	0	1	False
12548804	CP020631.1	24119644	-0.0494624	0.89311	False
12548835	CP020639.1	1625474	0	1	False
12548908	CP020638.1	3642596	0.141935	0.361634	False
12548919	CP020624.1	16405031	0.00107527	1	False
12548929	CP020641.1	522957	0.184946	0.214398	False
12549020	CP020644.1	6599221	0	1	False
12549215	CP020644.1	6117975	-0.150538	0.347698	False
12549333	CP020643.1	21153294	0.0870968	0.652231	False
12549625	CP020636.1	28216902	0.189247	0.144928	False
12550032	CP020644.1	2604786	0.00430107	1	False
12550069	CP020633.1	3301782	0	1	False
12550197	CP020640.1	15904722	0	1	False
12550215	CP020626.1	16000263	0.00430107	1	False
12550656	CP020627.1	4296347	0.412903	0.00251047	False
12550901	CP020641.1	28863181	0.117204	0.50241	False
12550941	CP020623.1	7657011	0	1	False
12551017	CP020638.1	18845314	0	1	False
12551664	CP020624.1	8185267	-0.0591398	0.791747	False
12551754	CP020637.1	22912104	0.205376	0.124372	False
12551768	CP020637.1	9441747	0	1	False
12551794	CP020641.1	29433227	-0.039785	0.942787	False
12551810	CP020639.1	7170674	0.212903	0.158279	False
12552236	CP020621.1	23413858	0	1	False
12552316	CP020644.1	22260577	-0.0634409	0.622808	False
12552578	CP020633.1	14699010	0.221505	0.0861662	False
12552603	CP020624.1	23777678	-0.378495	0.00666852	False
12553108	CP020627.1	2368066	0	1	False
12553642	CP020627.1	32450666	0	1	False
12553782	CP020637.1	12721242	-0.0741936	0.709715	False
12553913	CP020641.1	17616715	-0.0419355	0.932835	False
12554348	CP020623.1	35097573	0	1	False
12554379	CP020633.1	18260555	0	1	False
12554582	CP020621.1	23731207	0.641935	1.48105e-06	False
12554620	CP020637.1	9975796	0	1	False
12554673	CP020643.1	4141270	0	1	False
12554730	CP020641.1	31613566	-0.0322581	1	False
12554745	CP020633.1	534524	-0.0311828	1	False
12555105	CP020627.1	3316673	0.348387	0.0108679	False
12555351	CP020631.1	3458692	0	1	False
12555810	CP020642.1	2498482	0.0774193	0.713453	False
12555984	CP020627.1	1914093	0.0473118	0.905799	False
12556216	CP020626.1	24103167	0.106452	0.501112	False
12556390	CP020635.1	11756499	0	1	False
12556933	CP020636.1	32794307	-0.237634	0.0625713	False
12556950	CP020638.1	17608036	0	1	False
12557301	CP020640.1	26975314	-0.412903	0.00251047	False
12557430	CP020632.1	24448932	0.13871	0.322942	False
12557632	CP020634.1	18010624	-0.0591398	0.791747	False
12557673	CP020623.1	35940642	-0.0107527	1	False
12557907	CP020638.1	24560423	0.115054	0.517855	False
12558045	CP020624.1	8809237	-0.105376	0.485695	False
12558183	CP020624.1	32873922	-0.027957	1	False
12558411	CP020633.1	9806902	0	1	False
12558551	CP020632.1	29947120	-0.0645161	0.47938	False
12558882	CP020639.1	23952404	0	1	False
12559585	CP020628.1	23965246	0.00107527	1	False
12559943	CP020621.1	22875538	0.372043	0.00523257	False
12560063	CP020634.1	28125945	0	1	False
12560522	CP020635.1	23059240	0.150538	0.347698	False
12561005	CP020626.1	27938372	0.341935	0.0144815	False
12561122	CP020629.1	28395635	0.103226	0.434598	False
12561135	CP020636.1	30734513	0.0333334	0.973624	False
12561437	CP020623.1	35850558	0.119355	0.478812	False
12561535	CP020632.1	25371115	-0.269892	0.0273494	False
12561698	CP020634.1	27872724	-0.00967744	1	False
12562239	CP020635.1	6006100	0	1	False
12562308	CP020633.1	24883868	0	1	False
12562560	CP020621.1	36696686	0.213978	0.155372	False
12562604	CP020638.1	26046193	-0.189247	0.144928	False
12563111	CP020634.1	28965084	-0.0591398	0.791747	False
12563420	CP020629.1	31583818	-0.141935	0.361634	False
12563471	CP020636.1	11799861	-0.236559	0.0514172	False
12563788	CP020631.1	21526682	0.0473118	0.905799	False
12563837	CP020633.1	10750412	0.190323	0.120525	False
12563987	CP020634.1	10080976	0.154839	0.285735	False
12564154	CP020628.1	13337145	0	1	False
12564691	CP020630.1	5119590	-0.206452	0.13588	False
12565094	CP020624.1	28445438	0.0387096	0.947758	False
12565306	CP020624.1	3644165	0	1	False
12565341	CP020623.1	38066186	-0.0892473	0.619679	False
12565428	CP020638.1	17306949	-0.0612903	0.737008	False
12565637	CP020644.1	580291	0	1	False
12566071	CP020624.1	6506671	-0.182796	0.234602	False
12566123	CP020632.1	1878596	-0.0462366	0.911632	False
12566453	CP020635.1	28671449	-0.105376	0.485695	False
12566585	CP020624.1	1736390	-0.145161	0.372693	False
12566800	CP020637.1	29630763	0.308602	0.0282359	False
12567117	CP020636.1	7195282	0	1	False
12567119	CP020624.1	34098746	0	1	False
12567518	CP020630.1	673496	0	1	False
12567695	CP020624.1	5316077	0	1	False
12568012	CP020626.1	12011056	0	1	False
12568023	CP020628.1	21512144	0	1	False
12568224	CP020635.1	18966123	0	1	False
12568578	CP020641.1	29594881	-0.072043	0.695957	False
12568934	CP020639.1	21445476	0	1	False
12569575	CP020637.1	17708970	-0.0946237	0.444854	False
12569746	CP020627.1	20175693	0	1	False
12570040	CP020623.1	7947349	0	1	False
12570321	CP020640.1	22267059	0.0408602	0.937829	False
12570423	CP020626.1	307646	0.0387096	0.947758	False
12570592	CP020627.1	14555241	-0.0817205	0.699265	False
12570727	CP020626.1	32288213	-0.0741936	0.709715	False
12570999	CP020631.1	10010309	0	1	False
12571328	CP020627.1	3316673	-0.136559	0.271313	False
12571334	CP020641.1	11381517	-0.141935	0.361634	False
12571377	CP020635.1	27487681	0.105376	0.485695	False
12571652	CP020621.1	34581077	0	1	False
12572407	CP020637.1	11351241	-0.111828	0.527561	False
12572421	CP020623.1	26733544	0	1	False
12572588	CP020624.1	14195573	-0.151613	0.336255	False
12572589	CP020625.1	9996303	0	1	False
12572827	CP020639.1	12305737	0.0473118	0.905799	False
12572888	CP020641.1	24326931	0	1	False
12573095	CP020627.1	13372835	0	1	False
12573101	CP020637.1	14363820	0.108602	0.519773	False
12573210	CP020637.1	12721244	-0.0806452	0.704584	False
12573262	CP020622.1	22643961	0	1	False
12573402	CP020628.1	22199647	-0.104301	0.464368	False
12573542	CP020623.1	28973992	0	1	False
12573585	CP020622.1	11402340	0.0903226	0.598546	False
12573605	CP020634.1	29276292	0.0924731	0.540837	False
12574311	CP020635.1	6161432	0.204301	0.110163	False
12574861	CP020621.1	36061373	0	1	False
12574986	CP020632.1	2305220	0.0376344	0.952798	False
12575687	CP020642.1	2018194	0.102151	0.39187	False
12575981	CP020633.1	21395271	0	1	False
12576183	CP020621.1	19657201	0	1	False
12576697	CP020634.1	4484378	0	1	False
12576953	CP020628.1	20513227	-0.104301	0.464368	False
12576959	CP020639.1	20483518	0.18172	0.24155	False
12577065	CP020636.1	2848563	0	1	False
12577364	CP020640.1	9000128	-0.0623656	0.693026	False
12577558	CP020633.1	409479	-0.177419	0.249121	False
12577662	CP020635.1	6194719	0.0860215	0.664906	False
12578026	CP020639.1	21842601	0	1	False
12578125	CP020642.1	17161178	0	1	False
12578138	CP020636.1	7307528	0	1	False
12578599	CP020644.1	17882108	0.158065	0.201356	False
12578861	CP020635.1	11803611	0	1	False
12578958	CP020636.1	5749674	0	1	False
12579444	CP020632.1	18164446	-0.206452	0.13588	False
12579943	CP020633.1	12129559	0.0419355	0.932835	False
12580169	CP020638.1	22379331	-0.192473	0.063851	False
12580490	CP020635.1	8544438	0.0333334	0.973624	False
12580572	CP020643.1	6983730	-0.284946	0.033127	False
12580619	CP020628.1	22017196	0.0333334	0.973624	False
12581422	CP020627.1	33082351	-0.0526882	0.870287	False
12581471	CP020639.1	241235	0.00107527	1	False
12581481	CP020631.1	596751	-0.24086	0.0864746	False
12581555	CP020639.1	917966	0	1	False
12581561	CP020625.1	33747368	-0.146237	0.371811	False
12581637	CP020622.1	886730	-0.0817205	0.699265	False
12581683	CP020622.1	328071	0.207527	0.14489	False
12581759	CP020644.1	17936590	0.158065	0.201356	False
12581853	CP020629.1	15261046	-0.13871	0.322942	False
12582556	CP020635.1	17342513	-0.0924731	0.540837	False
12582665	CP020642.1	13117817	0.103226	0.434598	False
12582819	CP020622.1	11572901	0	1	False
12582903	CP020634.1	3324250	0	1	False
12583841	CP020644.1	11487801	-0.055914	0.839507	False
12583939	CP020633.1	15940645	0	1	False
12584566	CP020642.1	6407273	-0.187097	0.184969	False
12585250	CP020639.1	22111612	0	1	False
12585761	CP020644.1	11592530	0	1	False
12585805	CP020621.1	16898317	0.83871	1.92225e-10	True
12586924	CP020621.1	28922619	0	1	False
12586997	CP020634.1	23567860	-0.0322581	1	False
12587009	CP020641.1	25868182	-0.0473118	0.905799	False
12587411	CP020623.1	32335147	0.0225806	1	False
12587757	CP020634.1	2661926	0	1	False
12587961	CP020631.1	1485150	-0.17957	0.249411	False
12588007	CP020634.1	22346958	0	1	False
12588168	CP020640.1	24005883	-0.275269	0.0520959	False
12588366	CP020643.1	19837939	-0.190323	0.120525	False
12588841	CP020630.1	8153396	0.272043	0.0400868	False
12588871	CP020633.1	884939	-0.305376	0.0212902	False
12588902	CP020640.1	24904652	0.134409	0.180461	False
12589405	CP020633.1	30235571	0	1	False
12589556	CP020630.1	14247931	0.134409	0.180461	False
12590351	CP020644.1	16393491	0	1	False
12590517	CP020644.1	9649042	0.0913978	0.572829	False
12590713	CP020630.1	13888351	-0.317204	0.0177844	False
12590758	CP020635.1	12743757	-0.0225806	1	False
12590941	CP020636.1	19162168	-0.151613	0.336255	False
12591009	CP020624.1	2281936	0	1	False
12591200	CP020632.1	24062724	0	1	False
12591801	CP020627.1	32485837	-0.305376	0.0212902	False
12591890	CP020643.1	23471291	0	1	False
12591952	CP020634.1	28125612	0.125806	0.32382	False
12591981	CP020637.1	32418650	-0.0247312	1	False
12592002	CP020627.1	4510724	-0.0645161	0.47938	False
12592078	CP020628.1	977105	0.121505	0.444828	False
12592210	CP020624.1	32132107	0.0408602	0.937829	False
12592303	CP020636.1	28443714	0.310753	0.0294466	False
12592618	CP020629.1	25673597	0	1	False
12592803	CP020640.1	25054074	-0.209677	0.156167	False
12592966	CP020630.1	5808465	0	1	False
12593027	CP020639.1	3525358	0	1	False
12593194	CP020644.1	21346764	-0.106452	0.501112	False
12593392	CP020635.1	9347792	0	1	False
12593641	CP020638.1	11747018	-0.0311828	1	False
12593724	CP020635.1	4473614	0	1	False
12593847	CP020631.1	11866518	0.00430107	1	False
12593858	CP020625.1	30596120	0.102151	0.39187	False
12594331	CP020629.1	29976942	-0.00752689	1	False
12594842	CP020638.1	2654811	0	1	False
12594968	CP020640.1	5772243	-0.247312	0.0919754	False
12595056	CP020622.1	8935856	-0.144086	0.371418	False
12595172	CP020633.1	2072775	-0.272043	0.0400868	False
12595208	CP020637.1	32225980	0.0569892	0.826241	False
12595757	CP020642.1	2333947	-0.12043	0.463325	False
12596147	CP020642.1	11352304	0	1	False
12596389	CP020622.1	380576	-0.115054	0.517855	False
12596655	CP020623.1	31983800	0	1	False
12596869	CP020623.1	38047514	0.0548387	0.85102	False
12596936	CP020640.1	23698123	-0.0892473	0.619679	False
12597248	CP020621.1	3213	0	1	False
12597352	CP020630.1	5839250	-0.0419355	0.932835	False
12597683	CP020640.1	8020734	0	1	False
12598004	CP020640.1	18838659	0	1	False
12598047	CP020628.1	8511970	-0.18172	0.24155	False
12598052	CP020640.1	72775	0	1	False
12598267	CP020632.1	12383964	0	1	False
12598470	CP020622.1	4788990	0.0666667	0.450577	False
12598740	CP020635.1	16719837	0	1	False
12599059	CP020630.1	5173696	0.0333334	0.973624	False
12599172	CP020636.1	32857851	-0.205376	0.124372	False
12599441	CP020625.1	26411746	0	1	False
12599526	CP020633.1	6632079	0.189247	0.144928	False
12599552	CP020627.1	16554910	0.0107527	1	False
12599591	CP020623.1	32676159	-0.186022	0.200916	False
12599614	CP020636.1	24792860	0	1	False
12599680	CP020624.1	15417690	-0.00860217	1	False
12599846	CP020622.1	6074358	-0.115054	0.517855	False
12599958	CP020637.1	23508424	-0.0946237	0.444854	False
12600130	CP020628.1	5511559	-0.156989	0.234324	False
12600486	CP020628.1	1804083	0	1	False
12600791	CP020630.1	30476155	-0.106452	0.501112	False
12601033	CP020633.1	6276334	-0.0645161	0.47938	False
12601337	CP020632.1	831026	0.0333334	0.973624	False
12601488	CP020633.1	10538035	-0.301075	0.00633108	False
12601504	CP020627.1	3097487	-0.13871	0.322942	False
12601836	CP020632.1	15751649	0.0860215	0.664906	False
12602564	CP020634.1	21405441	0	1	False
12602840	CP020627.1	32463366	0	1	False
12603272	CP020628.1	8818368	-0.201075	0.0508527	False
12603273	CP020624.1	20053133	-0.333333	0.00149638	False
12603336	CP020621.1	3406915	-0.192473	0.063851	False
12603575	CP020637.1	12721267	0.0376344	0.952798	False
12603676	CP020642.1	17734692	0.304301	0.0178289	False
12603922	CP020641.1	20369328	0.0569892	0.826241	False
12603953	CP020626.1	871987	0	1	False
12604025	CP020640.1	11255193	0	1	False
12604834	CP020636.1	24116646	0	1	False
12604930	CP020622.1	22918542	-0.189247	0.144928	False
12604932	CP020621.1	21132817	0	1	False
12605261	CP020633.1	9538089	0.0817204	0.699265	False
